EI_NAME,ENV_NAME,BOOTLOAD,PL_NAME,SRV_NAME,UNT,UNT_IMAGE,COMPUTE_UNIT,Cores,Memory (Gigs),Prod/Dev,EM  Y / N / Retire,Comments
ENDPOC311D01,end0051,apol5u10,ADE-NADC-11,srv10721,unit18531,ENDPOC311D01_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D01,end0058,apol5u10,ADE-NADC-11,srv10721,unit0047,ENDPOC311D01_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D01,end0059,apol5u10,ADE-NADC-11,srv10721,unit16412,ENDPOC311D01_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D01,end0061,apol5u10,ADE-NADC-11,srv14113,unit18775,ENDPOC311D01_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end00033,apol5u8,ADE-NADC-11,srv14113,unit16756,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0052,apol5u8,TECHPROD-NADC-01,srv11515,unit18588,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0055,apol5u8,EBS-NADC-11,srv17210,unit18591,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0056,apol5u8,TECHPROD-NADC-01,srv14705,unit18592,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0062,apol5u8,ADE-NADC-11,srv10813,unit18776,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0063,apol5u8,ADE-NADC-11,srv10813,unit18777,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0064,apol5u8,TECHPROD-NADC-01,srv14414,unit19613,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0065,apol5u8,MISC-NADC-11,srv14014,unit19614,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0069,apol5u8,ADE-NADC-11,srv14905,unit19858,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0070,apol5u8,ADE-NADC-11,srv14608,unit20133,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0071,apol5u8,TECHPROD-NADC-01,srv12002,unit20287,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0072,apol5u8,TECHPROD-NADC-01,srv12002,unit20288,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0073,apol5u8,TECHPROD-NADC-01,srv14808,unit20671,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0074,apol5u8,ADE-NADC-11,srv11502,unit20698,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0075,apol5u8,MISC-NADC-11,srv14014,unit20699,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
ENDPOC311D02,end0082,apol5u8,TECHPROD-NADC-01,srv15606,unit22093,ENDPOC311D02_EID,36,6,18,Prod,Retire 12/30/15,
EPMEPR111D02,epm0042,apol5u8,HYP-NADC-11,srv10515,unit19716,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0048,apol5u8,HYP-NADC-11,srv11301,unit14031,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0049,apol5u8,HYP-NADC-11,srv11301,unit14032,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0050,apol5u8,HYP-NADC-11,srv11301,unit14113,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0053,apol5u8,HYP-NADC-11,srv11301,unit14114,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0058,apol5u8,HYP-NADC-11,srv11301,unit14115,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0062,apol5u8,HYP-NADC-11,srv10520,unit14116,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0065,apol5u8,HYP-NADC-11,srv10515,unit14117,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0068,apol5u8,HYP-NADC-11,srv11301,unit14118,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0069,apol5u8,HYP-NADC-11,srv13612,unit14119,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0070,apol5u8,HYP-NADC-11,srv10908,unit14120,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0071,apol5u8,HYP-NADC-11,srv12703,unit14842,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0072,apol5u8,HYP-NADC-11,srv10605,unit14843,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0074,apol5u8,HYP-NADC-11,srv14207,unit14844,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0075,apol5u8,HYP-NADC-11,srv13102,unit14845,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0076,apol5u8,HYP-NADC-11,srv10514,unit14846,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0077,apol5u8,HYP-NADC-11,srv10618,unit14847,EPMEPR111D02_APP,24,4,12,Prod,Y,
