EI_NAME,ENV_NAME,BOOTLOAD,PL_NAME,SRV_NAME,UNT,UNT_IMAGE,COMPUTE_UNIT,Cores,Memory (Gigs),Prod/Dev,EM  Y / N / Retire,Comments
OBIBIS111D06,obi0197,apol5u10,TECHPROD-NADC-01,srv10610,unit5171,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0203,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv10319,unit19455,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0203,apol5u10,TECHPROD-NADC-01,srv10319,unit19454,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0204,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv13703,unit19457,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0204,apol5u10,TECHPROD-NADC-01,srv11812,unit19456,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0205,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv14709,unit19553,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0205,apol5u10,TECHPROD-NADC-01,srv14709,unit19552,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0206,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv14805,unit19555,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0206,apol5u10,TECHPROD-NADC-01,srv14805,unit19554,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0208,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv11906,unit19559,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0208,apol5u10,TECHPROD-NADC-01,srv14709,unit19558,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0209,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv12002,unit19561,OBIBIS111D06_BIT,6,2,3,Dev,N,Windows no EM
OBIBIS111D06,obi0209,apol5u10,TECHPROD-NADC-01,srv14709,unit19560,OBIBIS111D06_BIS,24,4,12,Dev,N,
OBIBIS111D06,obi0210,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv12005,unit19563,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0210,apol5u10,TECHPROD-NADC-01,srv14709,unit19562,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0211,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv14409,unit19565,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0211,apol5u10,TECHPROD-NADC-01,srv11812,unit19564,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0216,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv11215,unit19665,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
